lam,epsilon,Z,beta,r,ALLC,ALLD,TFT,WSLS,max_float64_mpmath_diff,n_absorbing_float64,solver
100.0,0.2,100,0.1,10,8.45026305184353e-106,1.0,5.1757147554583814e-95,5.1820594012003485e-96,5.1757147554583814e-95,1,mpmath_dps200_tree_theorem
1000.0,0.2,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
0.01,0.3,100,0.1,10,0.23774407336672343,0.26348450312085986,0.24849084292337523,0.2502805805890415,3.941291737419306e-15,0,mpmath_dps200_tree_theorem
0.1,0.3,100,0.1,10,0.14159552948698795,0.39427736263418306,0.22794873965031384,0.23617836822851518,4.107825191113079e-15,0,mpmath_dps200_tree_theorem
0.25,0.3,100,0.1,10,0.04996366005583905,0.6024334713708982,0.1775191298203205,0.17008373875294222,6.439293542825908e-15,0,mpmath_dps200_tree_theorem
0.5,0.3,100,0.1,10,0.008866188244514746,0.8221433890844592,0.09976415303333094,0.06922626963769511,4.884981308350689e-15,0,mpmath_dps200_tree_theorem
1.0,0.3,100,0.1,10,0.0006052379825149656,0.9654033510484444,0.025248134027667065,0.008743276941373586,5.649885941039212e-15,0,mpmath_dps200_tree_theorem
2.0,0.3,100,0.1,10,4.929693629971318e-06,0.9985439788911598,0.0012294026804154966,0.00022168873479478025,4.816014254060974e-11,0,mpmath_dps200_tree_theorem
5.0,0.3,100,0.1,10,2.1794011264248364e-12,0.9999998895473077,9.87497669961048e-08,1.1700745966292306e-08,1.1045269232567989e-07,1,mpmath_dps200_tree_theorem
10.0,0.3,100,0.1,10,4.3899836116069154e-23,0.9999999999999853,1.3328921099019372e-14,1.2813964738640986e-15,1.4654943925052066e-14,1,mpmath_dps200_tree_theorem
100.0,0.3,100,0.1,10,1.0651480376727666e-216,1.0,1.4751520329473435e-138,1.89020144086811e-139,1.4751520329473435e-138,1,mpmath_dps200_tree_theorem
1000.0,0.3,100,0.1,10,0.0,1.0,0.0,0.0,0.0,1,mpmath_dps200_tree_theorem
