model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R4-R2,ai-race-fairgame-v3,2ff3bf58b3359778743f5aef3a3796aed48078220df34125657762569a72755c,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.2854563492063492,0.2927380952380952,-0.07852686207145283,36.84549971366242,0.9378338891723302,-0.02483237416516789,1.0
gpt-5-nano,R4-R2,ai-race-fairgame-v3,2ff3bf58b3359778743f5aef3a3796aed48078220df34125657762569a72755c,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.2854563492063492,0.30414682539682536,-0.18488516598705768,37.99644572129222,0.8543024418945258,-0.058465823009739515,1.0
gpt-5-nano,R4-R2,ai-race-fairgame-v3,2ff3bf58b3359778743f5aef3a3796aed48078220df34125657762569a72755c,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.2927380952380952,0.30414682539682536,-0.12233146282391258,36.72448136377252,0.9033035040617535,-0.03868460520237773,1.0
gpt-5-nano,R4-R3,ai-race-fairgame-v3,184991aef9058bd59fdb65e452b7170a18e644c5ae745f902c13f6e06c8ea2e8,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.381547619047619,0.37982142857142864,0.03197614738278146,35.523634920169236,0.9746700613314168,0.010111745652682141,1.0
gpt-5-nano,R4-R3,ai-race-fairgame-v3,184991aef9058bd59fdb65e452b7170a18e644c5ae745f902c13f6e06c8ea2e8,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.381547619047619,0.3664682539682539,0.22368210216717624,29.71416442678779,0.8245354572880939,0.07073449146627625,1.0
gpt-5-nano,R4-R3,ai-race-fairgame-v3,184991aef9058bd59fdb65e452b7170a18e644c5ae745f902c13f6e06c8ea2e8,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.37982142857142864,0.3664682539682539,0.18317608697778967,34.73064626297632,0.8557250406793164,0.05792536477269243,1.0
gpt-5-nano,R4-R4,ai-race-fairgame-v3,469e9877f8d14613f573038c972f799a1999b46cb9781b40d84aae39e6302d38,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.5170039682539682,0.4341269841269841,1.4849796807701425,37.792698969303856,0.14584329074753027,0.46959180703033926,0.4375298722425908
gpt-5-nano,R4-R4,ai-race-fairgame-v3,469e9877f8d14613f573038c972f799a1999b46cb9781b40d84aae39e6302d38,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.5170039682539682,0.485218253968254,0.6214595641396805,37.60507102173769,0.5380466652324287,0.19652276963768897,1.0
gpt-5-nano,R4-R4,ai-race-fairgame-v3,469e9877f8d14613f573038c972f799a1999b46cb9781b40d84aae39e6302d38,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.4341269841269841,0.485218253968254,-0.9575833946971639,36.868178225292766,0.3445105243136081,-0.30281445767990417,1.0
gpt-5-nano,R4-R5,ai-race-fairgame-v3,69f7da726d7dd32c1b9c6c53b427b894d5423affbf8fd3b387e66a727c78a085,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.4959722222222222,0.43287698412698417,1.3849892272693023,37.99422033547917,0.1741347443759949,0.4379720492967581,0.5224042331279848
gpt-5-nano,R4-R5,ai-race-fairgame-v3,69f7da726d7dd32c1b9c6c53b427b894d5423affbf8fd3b387e66a727c78a085,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.4959722222222222,0.4708333333333333,0.6038080089507069,36.774624876218745,0.5496780971311654,0.1909408577735569,1.0
gpt-5-nano,R4-R5,ai-race-fairgame-v3,69f7da726d7dd32c1b9c6c53b427b894d5423affbf8fd3b387e66a727c78a085,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.43287698412698417,0.4708333333333333,-0.905011319564771,36.61571673362882,0.37137600362209433,-0.2861897078059182,1.0
gpt-5-nano,R4-R6,ai-race-fairgame-v3,00baa465aca87360ea15f6e6dc7ac9059b508cf9ce9e122d8bcc073a9509696b,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.5145833333333333,0.4426984126984127,1.1364513178256315,37.50674120110643,0.2629769319174576,0.35937746142289084,0.7889307957523728
gpt-5-nano,R4-R6,ai-race-fairgame-v3,00baa465aca87360ea15f6e6dc7ac9059b508cf9ce9e122d8bcc073a9509696b,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.5145833333333333,0.4709722222222223,0.7045599311162851,37.004333803474246,0.48549506928501324,0.2228014130418801,1.0
gpt-5-nano,R4-R6,ai-race-fairgame-v3,00baa465aca87360ea15f6e6dc7ac9059b508cf9ce9e122d8bcc073a9509696b,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.4426984126984127,0.4709722222222223,-0.4868594976270058,37.90409822538304,0.6291614901123038,-0.15395849129866804,1.0
gpt-5-nano,R5-R1,ai-race-fairgame-v3,f5ab178729f12f236b85937033a38bcd266df8c1c44b86eee4345115fa9f291f,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.3962698412698412,0.33785714285714286,0.5113436011324809,36.1221522598681,0.6122221538132785,0.16170104465312948,1.0
gpt-5-nano,R5-R1,ai-race-fairgame-v3,f5ab178729f12f236b85937033a38bcd266df8c1c44b86eee4345115fa9f291f,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.3962698412698412,0.36904761904761907,0.22680419124395504,37.52627236368722,0.8218070083826772,0.07172178272033158,1.0
gpt-5-nano,R5-R1,ai-race-fairgame-v3,f5ab178729f12f236b85937033a38bcd266df8c1c44b86eee4345115fa9f291f,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.33785714285714286,0.36904761904761907,-0.2917324820968197,37.47212791819675,0.7721001663966683,-0.09225391108802444,1.0
gpt-5-nano,R5-R2,ai-race-fairgame-v3,12f7eaa826e6956d709fb758be3a38931cd08b08297985b5698cadf5328bee3b,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.35001984126984126,0.3182936507936508,0.29861653477595373,37.60487167164622,0.766876601317128,0.09443083968788923,1.0
gpt-5-nano,R5-R2,ai-race-fairgame-v3,12f7eaa826e6956d709fb758be3a38931cd08b08297985b5698cadf5328bee3b,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.35001984126984126,0.3194246031746032,0.27539544362376517,37.9973750880686,0.7845045623816603,0.08708768590835927,1.0
gpt-5-nano,R5-R2,ai-race-fairgame-v3,12f7eaa826e6956d709fb758be3a38931cd08b08297985b5698cadf5328bee3b,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.3182936507936508,0.3194246031746032,-0.010693569383170174,37.66524497981331,0.9915243697879501,-0.0033816035567859597,1.0
gpt-5-nano,R5-R3,ai-race-fairgame-v3,d165c488ef730d384923091fda8b720709d36b2274c4ac2b303f65df4153d231,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.438968253968254,0.4168849206349206,0.3023384373761083,37.001014679253096,0.7640871502941452,0.09560780863246839,1.0
gpt-5-nano,R5-R3,ai-race-fairgame-v3,d165c488ef730d384923091fda8b720709d36b2274c4ac2b303f65df4153d231,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.438968253968254,0.41224206349206344,0.33622334091668277,37.98913914288963,0.7385525999826167,0.10632315598080029,1.0
